"","Estimate","Std. Error","z value","Pr(>|z|)","feature","variable","n"
"1",-0.0286516926628697,0.00672617488486647,-4.2597305531461,2.04673485570409e-05,"(Intercept)","lexdiv","10"
"2",0.262186140250888,0.00954432857422268,27.4703598280345,3.96922609415534e-166,"policy_neg.abs","lexdiv","10"
"3",0.130804788471463,0.00952170524517564,13.7375380883312,6.04982144838008e-43,"policy_least.neg.abs","lexdiv","10"
"4",0.399778783471725,0.00958083070092,41.726943722462,0,"policy_pos.abs","lexdiv","10"
"5",0.385254915417728,0.00957608265363739,40.2309513558128,0,"policy_pos.rel","lexdiv","10"
"6",0.045016540156582,0.00951387941948995,4.73167024424989,2.22679946706097e-06,"policy_rev.chron","lexdiv","10"
"7",-0.128074993953836,0.00951724777582787,-13.457146117297,2.79504619936267e-41,"policy_chron","lexdiv","10"
"8",0.634203586179002,0.0096931357690195,65.4281133878262,0,"policy_pin.pred.lr","lexdiv","10"
"9",0.668061561062076,0.00971355076097199,68.7762464521497,0,"policy_pin.pred.xgb","lexdiv","10"
"10",0.89006991935043,0.00987809460967667,90.1054256433735,0,"policy_pred.nb","lexdiv","10"
"11",0.604902720693848,0.00967573541505711,62.5174929600199,0,"policy_pred.xgb","lexdiv","10"
"12",0.170593727727587,0.0082636530698696,20.6438637107837,1.10838271309913e-94,"replies_rh","lexdiv","10"
"13",-0.0268341294083893,0.00824128775015445,-3.25606024469736,0.00112969778530132,"replies_rt","lexdiv","10"
"14",0.192045807783973,0.00674258027432061,28.482539320353,1.92766997397842e-178,"pinned","lexdiv","10"
"15",-0.107631665208903,0.0117309750050156,-9.17499740327506,4.51585346673186e-20,"policy_neg.abs:replies_rh","lexdiv","10"
"16",-0.207906072347372,0.0116761820539647,-17.8059978327228,6.3490546845348e-71,"policy_neg.abs:replies_rt","lexdiv","10"
"17",-0.0883224784114372,0.00955725030077516,-9.24141103684117,2.43267702650453e-20,"policy_neg.abs:pinned","lexdiv","10"
"18",-0.122903772741934,0.0116979432978426,-10.5064428517619,8.0679471536183e-26,"policy_least.neg.abs:replies_rh","lexdiv","10"
"19",-0.312188810525034,0.0116695522478076,-26.752424077255,1.15714267192466e-157,"policy_least.neg.abs:replies_rt","lexdiv","10"
"20",-0.0248533314658394,0.00954312782391356,-2.60431715098281,0.00920575270199341,"policy_least.neg.abs:pinned","lexdiv","10"
"21",-0.144320874009975,0.0117699643342662,-12.2617936564013,1.45248778581363e-34,"policy_pos.abs:replies_rh","lexdiv","10"
"22",-0.23787111304868,0.0117024175981302,-20.3266642173739,7.47122330460612e-92,"policy_pos.abs:replies_rt","lexdiv","10"
"23",-0.155360759070843,0.00957998479597159,-16.2172239705613,3.81031465106808e-59,"policy_pos.abs:pinned","lexdiv","10"
"24",-0.142349925740753,0.0117643126758246,-12.1001481058285,1.05420806635172e-33,"policy_pos.rel:replies_rh","lexdiv","10"
"25",-0.229853324033795,0.0116991504688256,-19.6470098103514,6.13205649747866e-86,"policy_pos.rel:replies_rt","lexdiv","10"
"26",-0.150006328316476,0.00957681879540261,-15.6634819475217,2.68770645639782e-55,"policy_pos.rel:pinned","lexdiv","10"
"27",0.000873371820563995,0.0116883994877845,0.0747212500288645,0.940436499857863,"policy_rev.chron:replies_rh","lexdiv","10"
"28",0.0754212126802136,0.0116593935609293,6.46870802379896,9.88443743828923e-11,"policy_rev.chron:replies_rt","lexdiv","10"
"29",-0.0469577283011382,0.00953893562958749,-4.92274296887869,8.53395087093419e-07,"policy_rev.chron:pinned","lexdiv","10"
"30",-0.0899815605278311,0.0116740859507403,-7.7078034980653,1.28001632331405e-14,"policy_chron:replies_rh","lexdiv","10"
"31",-0.0547763148967514,0.0116620565905306,-4.69696870972388,2.64050883096054e-06,"policy_chron:replies_rt","lexdiv","10"
"32",0.0749069795246638,0.00953143440605975,7.85894088271127,3.8739500438592e-15,"policy_chron:pinned","lexdiv","10"
"33",-0.170595460147211,0.0119028684644545,-14.3322981898574,1.37494164789913e-46,"policy_pin.pred.lr:replies_rh","lexdiv","10"
"34",-0.334688594096874,0.0117866473849743,-28.3955719693064,2.2934259801898e-177,"policy_pin.pred.lr:replies_rt","lexdiv","10"
"35",-0.199970178850751,0.00965817347703521,-20.704761550021,3.13783824586955e-95,"policy_pin.pred.lr:pinned","lexdiv","10"
"36",-0.17789374362572,0.0119270568939224,-14.9151416990698,2.6271896395935e-50,"policy_pin.pred.xgb:replies_rh","lexdiv","10"
"37",-0.352060141521655,0.0118029636411844,-29.8281137030026,1.68800282044077e-195,"policy_pin.pred.xgb:replies_rt","lexdiv","10"
"38",-0.201900509269789,0.00967230264884535,-20.8740893042559,9.2107372166773e-97,"policy_pin.pred.xgb:pinned","lexdiv","10"
"39",-0.171330407243864,0.0121369077332132,-14.1164793380616,3.00640128816653e-45,"policy_pred.nb:replies_rh","lexdiv","10"
"40",-0.482772695376528,0.0119229581725085,-40.4910164400044,0,"policy_pred.nb:replies_rt","lexdiv","10"
"41",-0.231484826090283,0.00978905990899034,-23.647298948256,1.25831314727722e-123,"policy_pred.nb:pinned","lexdiv","10"
"42",-0.173385287236653,0.0118883247615964,-14.5845012408098,3.52488640687477e-48,"policy_pred.xgb:replies_rh","lexdiv","10"
"43",-0.365108059646441,0.0117731863981149,-31.0118303830561,3.73387122962324e-211,"policy_pred.xgb:replies_rt","lexdiv","10"
"44",-0.17531075403372,0.00964658946433377,-18.1733403999304,8.39296569054847e-74,"policy_pred.xgb:pinned","lexdiv","10"
"45",-0.160353886980195,0.00956957882656038,-16.7566295117536,5.06537896436741e-63,"(Intercept)","sentcomp","10"
"46",-0.182733205409671,0.0135859552291373,-13.4501551291565,3.07227089511883e-41,"policy_neg.abs","sentcomp","10"
"47",0.0398695721705133,0.0135266868927228,2.94747505333053,0.00320380601489796,"policy_least.neg.abs","sentcomp","10"
"48",-0.0813539569825676,0.0135508808962227,-6.00359176688249,1.92999601461363e-09,"policy_pos.abs","sentcomp","10"
"49",-0.0694164138869643,0.0135474890364074,-5.12393209549129,2.99228784463494e-07,"policy_pos.rel","sentcomp","10"
"50",-0.0391907248177172,0.0135403936070463,-2.89435639428699,0.00379936655402962,"policy_rev.chron","sentcomp","10"
"51",0.0443120400388861,0.0135254137264579,3.27620588434974,0.00105211832752636,"policy_chron","sentcomp","10"
"52",-0.0444412627746302,0.0135420501697827,-3.28172338881117,0.00103174763107901,"policy_pin.pred.lr","sentcomp","10"
"53",-0.0496641810215323,0.0135439075059994,-3.66690196308069,0.000245506865476476,"policy_pin.pred.xgb","sentcomp","10"
"54",-0.250108530848086,0.0136201582486981,-18.3631148978752,2.59298137961195e-75,"policy_pred.nb","sentcomp","10"
"55",-0.190256041278348,0.0135926335614256,-13.9969962714418,1.62599021355682e-44,"policy_pred.xgb","sentcomp","10"
"56",-0.0101254975649057,0.0117225006979066,-0.863766002309895,0.387716447628383,"replies_rh","sentcomp","10"
"57",0.00153920593247874,0.0117201887751277,0.13132944886905,0.895514696707009,"replies_rt","sentcomp","10"
"58",-0.0133985382854515,0.00957068321303621,-1.39995630272261,0.161526404233,"pinned","sentcomp","10"
"59",0.00579441608956518,0.016637393367362,0.348276677819751,0.727632407153518,"policy_neg.abs:replies_rh","sentcomp","10"
"60",0.0678229082899569,0.0166186987534763,4.08112026675794,4.48191551321113e-05,"policy_neg.abs:replies_rt","sentcomp","10"
"61",0.0666633882070538,0.0135748905497507,4.91078642311988,9.07118483584808e-07,"policy_neg.abs:pinned","sentcomp","10"
"62",0.0199282748784544,0.0165784296163374,1.20206046891292,0.229340100842263,"policy_least.neg.abs:replies_rh","sentcomp","10"
"63",-0.00282130516999584,0.016574534133452,-0.170219274175657,0.864837694314787,"policy_least.neg.abs:replies_rt","sentcomp","10"
"64",-0.0727212175759957,0.0135342198281197,-5.37313701857456,7.73784841663133e-08,"policy_least.neg.abs:pinned","sentcomp","10"
"65",0.0155381536198148,0.0165988502164744,0.936098188559658,0.34922263561749,"policy_pos.abs:replies_rh","sentcomp","10"
"66",0.0672703447498348,0.0165868860403197,4.05563434790067,4.99984240246461e-05,"policy_pos.abs:replies_rt","sentcomp","10"
"67",0.0222007269859525,0.0135464793187266,1.63885585793958,0.101243282749451,"policy_pos.abs:pinned","sentcomp","10"
"68",0.0185342277811346,0.0165943829967747,1.11689767463707,0.264038079005554,"policy_pos.rel:replies_rh","sentcomp","10"
"69",0.0626510090298821,0.0165840909432158,3.7777777054166,0.000158234018054928,"policy_pos.rel:replies_rt","sentcomp","10"
"70",0.0192735954136631,0.0135436129865331,1.42307635583117,0.154714021706919,"policy_pos.rel:pinned","sentcomp","10"
"71",0.0292069035559008,0.0165843281529012,1.76111466721017,0.0782189970189876,"policy_rev.chron:replies_rh","sentcomp","10"
"72",0.0317652310894526,0.0165806669484266,1.91579935766498,0.055390639544437,"policy_rev.chron:replies_rt","sentcomp","10"
"73",0.00773860060280788,0.0135386205598665,0.571594466998208,0.56759674478394,"policy_rev.chron:pinned","sentcomp","10"
"74",0.00696392590892326,0.0165681704243359,0.420319548300541,0.674252031232095,"policy_chron:replies_rh","sentcomp","10"
"75",-0.00655551908985435,0.0165668178939008,-0.395701765531436,0.692325052890494,"policy_chron:replies_rt","sentcomp","10"
"76",-0.0150879170027459,0.0135276164613248,-1.11534186720048,0.26470395066091,"policy_chron:pinned","sentcomp","10"
"77",0.0100175351520069,0.0165885655888955,0.603881938937063,0.545922137434074,"policy_pin.pred.lr:replies_rh","sentcomp","10"
"78",0.0415129702368073,0.0165804263006006,2.50373358827955,0.0122890529901471,"policy_pin.pred.lr:replies_rt","sentcomp","10"
"79",0.0109877638330185,0.0135404668310163,0.811475997847397,0.417092371205227,"policy_pin.pred.lr:pinned","sentcomp","10"
"80",0.00722553204048548,0.0165925501342529,0.435468447105634,0.663222437025415,"policy_pin.pred.xgb:replies_rh","sentcomp","10"
"81",0.0442571232775955,0.0165831501655844,2.66880073060206,0.00761225978402407,"policy_pin.pred.xgb:replies_rt","sentcomp","10"
"82",0.00148546718839346,0.0135431671175741,0.109683885275688,0.912660080985192,"policy_pin.pred.xgb:pinned","sentcomp","10"
"83",0.0102269885640169,0.016682138586056,0.613050210035138,0.53984314059171,"policy_pred.nb:replies_rh","sentcomp","10"
"84",0.134397102899824,0.0166440387768454,8.07478910027493,6.75933710639759e-16,"policy_pred.nb:replies_rt","sentcomp","10"
"85",0.0428426973635467,0.0136003229901306,3.15012352240727,0.00163201445288731,"policy_pred.nb:pinned","sentcomp","10"
"86",0.0121631286394644,0.0166517521076852,0.730441371022506,0.465120437904253,"policy_pred.xgb:replies_rh","sentcomp","10"
"87",0.115895149946914,0.0166230761503206,6.97194363419185,3.12591804162745e-12,"policy_pred.xgb:replies_rt","sentcomp","10"
"88",0.0205508177380123,0.0135805774734639,1.51325065360204,0.130216002037798,"policy_pred.xgb:pinned","sentcomp","10"
"89",-0.366224516184725,0.0101289412448312,-36.1562484501142,2.96768140410937e-286,"(Intercept)","sim","10"
"90",0.231908739121444,0.0142901307087386,16.2285946747589,3.16625718614581e-59,"policy_neg.abs","sim","10"
"91",0.292656594418069,0.0142821515943859,20.4910718447428,2.58636329919335e-93,"policy_least.neg.abs","sim","10"
"92",0.446184979707999,0.014280738029261,31.2438319920002,2.70758204276275e-214,"policy_pos.abs","sim","10"
"93",0.445912692586909,0.0142803571123614,31.2255981470462,4.78826211895276e-214,"policy_pos.rel","sim","10"
"94",-0.136284583102315,0.0143580687740487,-9.49184637899494,2.26977695891654e-21,"policy_rev.chron","sim","10"
"95",0.17553140696493,0.0142894875777774,12.2839539213367,1.10464636511285e-34,"policy_chron","sim","10"
"96",0.53638231786436,0.014294098192306,37.5247399764662,0,"policy_pin.pred.lr","sim","10"
"97",0.52488694325996,0.0142913062316116,36.7277094726961,2.63851976864128e-295,"policy_pin.pred.xgb","sim","10"
"98",0.616658556329145,0.0143147035236578,43.0786816723097,0,"policy_pred.nb","sim","10"
"99",0.542446196705308,0.0142967204380657,37.9420020874872,0,"policy_pred.xgb","sim","10"
"100",0.359461626955409,0.0123748062765358,29.0478589258398,1.63766317326513e-185,"replies_rh","sim","10"
"101",0.0377721916617634,0.0124200393276041,3.04122963425832,0.00235614061010217,"replies_rt","sim","10"
"102",0.0924426318538688,0.0101139226766051,9.14013630613386,6.2373663406619e-20,"pinned","sim","10"
"103",-0.23615339141736,0.0174623608385699,-13.5235661203242,1.13535831067313e-41,"policy_neg.abs:replies_rh","sim","10"
"104",-0.392057875800251,0.0175770031209158,-22.3051605045072,3.29253662662796e-110,"policy_neg.abs:replies_rt","sim","10"
"105",-0.011412266312579,0.0143080117901287,-0.797613706221053,0.425094694688474,"policy_neg.abs:pinned","sim","10"
"106",-0.221815702063086,0.0174610941969992,-12.7034250866825,5.65973736054134e-37,"policy_least.neg.abs:replies_rh","sim","10"
"107",-0.398983224822776,0.0175733000237537,-22.7039442952362,4.09553207060184e-114,"policy_least.neg.abs:replies_rt","sim","10"
"108",-0.106847546038019,0.0143061795298344,-7.46862891068837,8.10347065013471e-14,"policy_least.neg.abs:pinned","sim","10"
"109",-0.308663432998469,0.0174675073257613,-17.6707201114636,7.0491300781057e-70,"policy_pos.abs:replies_rh","sim","10"
"110",-0.408170796034133,0.0175260586960366,-23.2893660299356,5.68199640622087e-120,"policy_pos.abs:replies_rt","sim","10"
"111",-0.0799877476576795,0.0142844606375967,-5.59963373395786,2.14805166727917e-08,"policy_pos.abs:pinned","sim","10"
"112",-0.302984275158661,0.0174680242004445,-17.345079883216,2.14879280185424e-67,"policy_pos.rel:replies_rh","sim","10"
"113",-0.391434015562848,0.0175222649703685,-22.3392361789296,1.53647962911696e-110,"policy_pos.rel:replies_rt","sim","10"
"114",-0.0806808250988062,0.0142827722169376,-5.64882110232974,1.61551865913117e-08,"policy_pos.rel:pinned","sim","10"
"115",0.155023682671763,0.017541878882728,8.83734768140493,9.80177410335304e-19,"policy_rev.chron:replies_rh","sim","10"
"116",0.291725868823764,0.0175832668403271,16.5911074132534,8.08163750085843e-62,"policy_rev.chron:replies_rt","sim","10"
"117",0.000280637896276269,0.0143125765949575,0.019607783016172,0.984356255078715,"policy_rev.chron:pinned","sim","10"
"118",-0.233284830441475,0.0174656180125297,-13.3568036512718,1.08107486845568e-40,"policy_chron:replies_rh","sim","10"
"119",-0.247010999488093,0.0175464279776574,-14.0775660893842,5.21760253186383e-45,"policy_chron:replies_rt","sim","10"
"120",0.0263121817614609,0.0142925911099619,1.84096652307652,0.065626464685508,"policy_chron:pinned","sim","10"
"121",-0.359439533280033,0.0174794329840134,-20.5635694023241,5.81907925853936e-94,"policy_pin.pred.lr:replies_rh","sim","10"
"122",-0.470709438293668,0.0175307179837271,-26.8505510573272,8.31053320062214e-159,"policy_pin.pred.lr:replies_rt","sim","10"
"123",-0.10257772076848,0.0142889061179429,-7.17883649887451,7.03071642615132e-13,"policy_pin.pred.lr:pinned","sim","10"
"124",-0.355448850481683,0.0174765181432665,-20.3386537048075,5.85147485372294e-92,"policy_pin.pred.xgb:replies_rh","sim","10"
"125",-0.448720147087851,0.0175269775918692,-25.6016843027182,1.46106325255139e-144,"policy_pin.pred.xgb:replies_rt","sim","10"
"126",-0.105697100325101,0.0142862653409306,-7.39851163356711,1.37719329258703e-13,"policy_pin.pred.xgb:pinned","sim","10"
"127",-0.359372621713874,0.0175061619259566,-20.5283501451581,1.20186742808963e-93,"policy_pred.nb:replies_rh","sim","10"
"128",-0.558328721243019,0.0175464643540903,-31.8200128513563,3.42263157091904e-222,"policy_pred.nb:replies_rt","sim","10"
"129",-0.105702132368871,0.0143046189521868,-7.38937071460482,1.47525329719267e-13,"policy_pred.nb:pinned","sim","10"
"130",-0.356401551600827,0.0174836262042895,-20.3848759654554,2.27793130285208e-92,"policy_pred.xgb:replies_rh","sim","10"
"131",-0.53330040272657,0.0175448283716991,-30.3964445492562,6.12057996361942e-203,"policy_pred.xgb:replies_rt","sim","10"
"132",-0.0880212358425491,0.0142976383528421,-6.15634789958528,7.4441600154562e-10,"policy_pred.xgb:pinned","sim","10"
"133",-0.0761282204831275,0.0060638509704595,-12.5544346083028,3.75856362387137e-36,"(Intercept)","smog","10"
"134",0.159646461559992,0.00857955284619461,18.6077834616755,2.77877627606121e-77,"policy_neg.abs","smog","10"
"135",0.0707544689935687,0.00857649519046923,8.2498115398229,1.58644510878311e-16,"policy_least.neg.abs","smog","10"
"136",0.276182108885561,0.00859321679938357,32.1395485920212,1.23626499192308e-226,"policy_pos.abs","smog","10"
"137",0.27011051970883,0.00859221883950289,31.4366434042615,6.39116158781396e-217,"policy_pos.rel","smog","10"
"138",-0.0222446651205765,0.00857587936096418,-2.59386404405711,0.00949040072480318,"policy_rev.chron","smog","10"
"139",-0.0806867621401571,0.00858243396008148,-9.40138456240344,5.38497271756302e-21,"policy_chron","smog","10"
"140",0.383882608037992,0.00861768540206121,44.5459064850723,0,"policy_pin.pred.lr","smog","10"
"141",0.413056001441143,0.00862614010524735,47.8842212625178,0,"policy_pin.pred.xgb","smog","10"
"142",0.555166599281654,0.00867831931534781,63.9716722914112,0,"policy_pred.nb","smog","10"
"143",0.391229157369948,0.00861956585580033,45.3884991326657,0,"policy_pred.xgb","smog","10"
"144",0.114836166243591,0.00742945760749468,15.4568707852571,6.78137677526825e-54,"replies_rh","smog","10"
"145",-0.00291340183481488,0.00742716269361969,-0.392263096285429,0.694863827944909,"replies_rt","smog","10"
"146",0.104163187831437,0.00606610142161374,17.1713561300343,4.35133742584927e-66,"pinned","smog","10"
"147",-0.0707892187649579,0.010515427722519,-6.73193907399141,1.67416748654911e-11,"policy_neg.abs:replies_rh","smog","10"
"148",-0.156245227214838,0.0105066358482714,-14.8710995099867,5.07725857999908e-50,"policy_neg.abs:replies_rt","smog","10"
"149",-0.0427988562612781,0.00858290457621581,-4.98652360412797,6.14753989695647e-07,"policy_neg.abs:pinned","smog","10"
"150",-0.0771469146416776,0.0105076800492747,-7.34195505381826,2.1049609107022e-13,"policy_least.neg.abs:replies_rh","smog","10"
"151",-0.198388941468294,0.0105107621062877,-18.8748388996089,1.83683131993498e-79,"policy_least.neg.abs:replies_rt","smog","10"
"152",-0.00980473631485753,0.00858244624915954,-1.14241744488848,0.253280543415268,"policy_least.neg.abs:pinned","smog","10"
"153",-0.100235241145013,0.0105311617326318,-9.51796617408554,1.7660140365234e-21,"policy_pos.abs:replies_rh","smog","10"
"154",-0.172067750790552,0.0105149638307766,-16.3640839435816,3.4518265138435e-60,"policy_pos.abs:replies_rt","smog","10"
"155",-0.090354443173094,0.008591160149303,-10.5171410616091,7.20259673247468e-26,"policy_pos.abs:pinned","smog","10"
"156",-0.0989451996837478,0.0105299782616933,-9.39652459147969,5.63950824902068e-21,"policy_pos.rel:replies_rh","smog","10"
"157",-0.170537483079769,0.0105142452067267,-16.2196600637262,3.66215968552911e-59,"policy_pos.rel:replies_rt","smog","10"
"158",-0.0887814788518437,0.00859048427722841,-10.334863086495,4.90111479816737e-25,"policy_pos.rel:pinned","smog","10"
"159",0.0355772972746028,0.0105070895467713,3.38602779734902,0.000709122002219289,"policy_rev.chron:replies_rh","smog","10"
"160",0.0750167421888163,0.0105036849192516,7.14194520927818,9.20192804765467e-13,"policy_rev.chron:replies_rt","smog","10"
"161",-0.0196615266275806,0.00857873695932418,-2.2918906035708,0.0219119566153059,"policy_rev.chron:pinned","smog","10"
"162",-0.0565933870397412,0.010508797003277,-5.38533449852474,7.23100441902988e-08,"policy_chron:replies_rh","smog","10"
"163",-0.0520311090875139,0.0105121438211337,-4.94961921876586,7.43588180850963e-07,"policy_chron:replies_rt","smog","10"
"164",0.0606421781602474,0.00858290985449485,7.06545672601808,1.60088570714981e-12,"policy_chron:pinned","smog","10"
"165",-0.114806878583555,0.0105597523068534,-10.8721185163637,1.56523491850556e-27,"policy_pin.pred.lr:replies_rh","smog","10"
"166",-0.213580194683259,0.0105323046184306,-20.2785812242378,1.98782581304315e-91,"policy_pin.pred.lr:replies_rt","smog","10"
"167",-0.109832025624297,0.00860772925417197,-12.7596979855127,2.75266237929158e-37,"policy_pin.pred.lr:pinned","smog","10"
"168",-0.117853194562391,0.0105704888550365,-11.1492662428983,7.21992697243503e-29,"policy_pin.pred.xgb:replies_rh","smog","10"
"169",-0.228992828566048,0.0105387971171112,-21.7285545989159,1.10217070528287e-104,"policy_pin.pred.xgb:replies_rt","smog","10"
"170",-0.109904478979843,0.00861394456038999,-12.7589025224544,2.78091423086021e-37,"policy_pin.pred.xgb:pinned","smog","10"
"171",-0.115036864625735,0.0106362345425798,-10.8155629856799,2.90503487955692e-27,"policy_pred.nb:replies_rh","smog","10"
"172",-0.306664992964029,0.0105758994077407,-28.9965875374698,7.26481233614665e-185,"policy_pred.nb:replies_rt","smog","10"
